name	token	tags
Hillary Clinton	Hillary_Clinton	Democrat
Barack Obama	Barack_Obama	Democrat
John Kerry	John_Kerry	Democrat
Bernie Sanders	Bernie_Sanders	Democrat,election_candidate_2020
Cory Booker	Cory_Booker	Democrat,election_candidate_2020
Andrew Yang	Andrew_Yang	Democrat,Business,election_candidate_2020
Elizabeth Warren	Elizabeth_Warren	Democrat,election_candidate_2020
John Delaney	John_Delaney	Democrat,election_candidate_2020
Julian Castro	Julian_Castro	Democrat,election_candidate_2020
Tulsi Gabbard	Tulsi_Gabbard	Democrat,election_candidate_2020
Kirsten Gillibrand	Kirsten_Gillibrand	Democrat,election_candidate_2020
Kamala Harris	Kamala_Harris	Democrat,election_candidate_2020
Pete Buttigieg	Pete_Buttigieg	Democrat,election_candidate_2020
Marianne Williamson	Marianne_Williamson	Democrat,Author,Democrat,election_candidate_2020
Amy Klobuchar	Amy_Klobuchar	Democrat,election_candidate_2020
Jay Inslee	Jay_Inslee	Democrat,election_candidate_2020
John Hickenlooper	John_Hickenlooper	Democrat,election_candidate_2020
Wayne Messam	Wayne_Messam	Democrat,election_candidate_2020
Beto O'Rourke	Beto_Orourke	Democrat,election_candidate_2020
Tim Ryan	Tim_Ryan	Democrat,election_candidate_2020
Mike Gravel	Mike_Gravel	Democrat,election_candidate_2020
Joe Biden	Joe_Biden	Democrat,election_candidate_2020
Eric Swalwell	Eric_Swalwell	Democrat,election_candidate_2020
Seth Moulton	Seth_Moulton	Democrat,election_candidate_2020
Michael Bennet	Michael_Bennet	Democrat,election_candidate_2020
Bill de Blasio	Bill_deBlasio	Democrat,election_candidate_2020
Donald Trump	Donald_Trump	Republican,Business,election_candidate_2020
George W. Bush	George_Wbush	Republican
Bill Weld	Bill_Weld	Republican,election_candidate_2020
Ronald Reagan	Ronald_Reagan	Republican
John McCain	John_McCain	Republican
Mitt Romney	Mitt_Romney	Republican
Mike Pompeo	Mike_Pompeo	Republican
Justin Amash	Justin_Amash	Republican
Kevin McCarthy	Kevin_McCarthy	Republican
Paul Ryan	Paul_Ryan	Republican
